,hydrophobicity,hydropathy intensity,pH_l,pK1,pK2,steric,polarizability
A,0.0,0.7076409904732992,-0.00969583058588804,1.0582579005272945,0.6912271755886895,-0.838611614892944,-1.1447029429446782
C,1.0,0.9401990624598294,-0.5572250872007595,-1.2516451310805008,2.318797546478382,-0.39025406846900224,-0.3815676476482261
D,2.0,-1.0531558402818584,-1.8119796336098397,-0.8756144050048129,0.7500550203196445,-0.545806686616084,-0.5723514714723391
E,2.0,-1.0531558402818584,-1.6408767409176925,-0.28470897831444636,-0.09314408749067754,-2.0098313280003834,-0.19078382382411319
F,1.0,1.0398668075969137,-0.3062741779189432,0.2524777732222505,-0.4068925927224258,0.6803139505432667,1.1447029429446778
G,0.0,-0.023255807198653066,0.018821318196136413,1.0582579005272945,0.5147436413958316,-2.0098313280003834,-1.6216625025049607
H,-1.0,-0.9534880951447741,0.8971495006824928,-1.8962692329245356,-0.3676740295684581,0.7260647205865264,0.572351471472339
I,1.0,1.6046506967070588,0.013117888439731624,0.8971018750662844,0.47552507824186396,1.8240832016247512,0.1907838238241129
K,2.0,-1.1860461671313043,2.037835451963475,0.037603072607571765,-0.897124632147032,-0.28045222036517986,0.4769595595602824
L,1.0,1.3720926247205285,-0.00969583058588804,0.9508205502199553,0.4363065150878963,0.36005856024045113,0.1907838238241129
M,1.0,0.7408635721856607,-0.1636884340088204,-0.1235529528534385,-0.46572043745338076,0.1404548640328064,0.4769595595602824
N,-2.0,-1.0531558402818584,-0.3519016159701825,-0.0698342776997676,-1.563840205764496,-0.545806686616084,-0.3815676476482261
P,-1.0,0.6411958270485763,0.1557036323498544,-1.0904891056194916,2.2011418570164794,0.43325979230966616,-1.6216625025049607
Q,-2.0,-1.0531558402818584,-0.21501930181646453,0.09132174776124026,-0.7598596611081416,-0.5824073026506915,0.09539191191205633
R,2.0,-1.3853816574054731,2.699433303706445,-1.7888318826171963,-1.0343896031859223,0.13130471002415434,1.1447029429446778
S,-2.0,-0.15614613404809893,-0.19790901254725016,0.19875909806857964,-0.6029854084922676,-0.8111611528669883,-1.0493110310326217
T,-2.0,-0.12292355233573744,-0.24353645059848947,-0.3384276534681172,-0.8186875058390967,0.7626653366211334,-0.5723514714723391
V,1.0,1.5049829515699744,-0.015399260342292831,1.2731326011419732,0.4363065150878963,1.3482751931748533,-0.2861757357361695
W,1.0,-0.18936871576046038,-0.07813698766274704,1.64916332721766,-0.210799776952584,0.9273681087768673,2.289405885889356
Y,-2.0,-0.3222590426099063,-0.2207227315728698,0.2524777732222505,-0.6029854084922676,0.6803139505432667,1.2400948548567343
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0
